DynoWare;Version 2.6.5.16
Path:;\\Sefags145\home$\sefagtecc\Alexander H\Petra Hedberg\
Filename:;VC430_F035_AP3_363_E1.dwd
Config ID:;VC430_F035_AP3_363_E1.cfg
Setup ID:;0
Manipulated:;0
Filename 1:; 
Filename 2:; 
Date:;den 11 november 2024
Time:;11:32:23
Sampling rate [Hz]:;300
Measuring time [s]:;120
Delay time [s]:;0
Cycle time [s]:;0
Cycles:;1
Samples per channel:;36001
Cycle interval:;0
Cycle No:;1
Time;Fr;Fa;Ft
s;N;N;N
0,000000;-2,89917;54,0161;41,5039
0,003333;-12,3596;160,828;158,447
0,006667;-11,2915;217,743;259,033
0,010000;-36,6211;368,042;455,322
0,013333;-32,959;341,034;461,67
0,016667;-40,741;410,309;551,758
0,020000;-42,1143;425,72;601,318
0,023333;-39,0625;355,377;456,787
0,026667;-40,1306;405,884;539,063
0,030000;-17,395;373,23;511,475
0,033333;-46,0815;382,69;477,783
0,036667;-40,8936;425,11;633,789
0,040000;-57,2205;467,224;715,576
0,043333;-76,1414;530,396;962,158
0,046667;-90,0269;601,959;1101,07
0,050000;-152,435;686,951;1409,91
0,053333;-133,057;794,067;1635,5
0,056667;-182,8;805,817;1672,61
0,060000;-119,629;843,811;1810,3
0,063333;-182,495;840,759;1763,67
0,066667;-191,345;877,38;1851,81
0,070000;-145,721;860,748;1804,2
0,073333;-124,664;877,533;1865,48
0,076667;-207,672;871,429;1805,42
0,080000;-166,931;826,416;1771,73
0,083333;-177,307;880,127;1807,86
0,086667;-181,885;839,233;1830,08
0,090000;-187,225;901,031;1855,71
0,093333;-248,413;905,914;1916,5
0,096667;-115,204;921,783;1943,85
0,100000;-347,443;870,056;1853,52
0,103333;-206,146;917,664;2046,14
0,106667;-265,35;926,056;1899,41
0,110000;-303,497;844,574;1942,14
0,113333;-234,833;899,2;1952,15
0,116667;-218,048;904,846;2004,64
0,120000;-367,432;899,2;1871,09
0,123333;-208,282;839,233;1974,61
0,126667;-274,353;908,356;1876,22
0,130000;-230,865;886,688;1985,84
0,133333;-261,383;903,32;1866,7
0,136667;-303,192;864,105;1915,04
0,140000;-249,634;944,672;1955,32
0,143333;-263,672;813,446;1857,18
0,146667;-347,443;859,07;1829,83
0,150000;-290,527;878,754;1966,31
0,153333;-296,326;896,454;1888,43
0,156667;-337,219;891,724;1882,81
0,160000;-286,865;865,021;1930,18
0,163333;-329,132;864,868;1827,88
0,166667;-348,816;814,972;1830,32
0,170000;-316,01;866,394;1867,92
0,173333;-316,772;814,972;1848,63
0,176667;-292,816;858,307;1866,46
0,180000;-284,576;865,479;1908,94
0,183333;-379,639;833,282;1806,88
0,186667;-303,04;833,893;1868,41
0,190000;-350,189;871,124;1863,77
0,193333;-386,353;870,667;1900,39
0,196667;-322,876;845,184;1929,69
0,200000;-363,77;870,972;1895,02
0,203333;-328,979;878,143;1979,49
0,206667;-359,65;910,95;1951,17
0,210000;-345,306;872,192;1998,54
0,213333;-387,726;928,345;1943,85
0,216667;-326,385;874,634;2012,94
0,220000;-398,407;914,001;1946,04
0,223333;-287,17;888,672;2093,26
0,226667;-344,391;962,83;2028,81
0,230000;-415,955;933,38;2066,65
0,233333;-254,822;937,195;2120,36
0,236667;-386,047;968,323;2028,81
0,240000;-277,1;980,682;2208,98
0,243333;-318,451;960,541;2065,67
0,246667;-384,674;865,021;2021
0,250000;-326,691;921,021;2037,84
0,253333;-350,494;878,906;2048,34
0,256667;-362,244;942,535;2055,66
0,260000;-334,93;902,71;2083,5
0,263333;-374,298;964,661;2067,14
0,266667;-339,813;946,198;2126,71
0,270000;-324,554;937,347;2064,45
0,273333;-361,938;990,906;2131,59
0,276667;-397,949;904,999;2023,93
0,280000;-383,759;937,958;2090,82
0,283333;-378,418;900,421;2044,92
0,286667;-359,955;931,396;2065,92
0,290000;-368,347;963,745;2155,76
0,293333;-281,83;973,816;2108,4
0,296667;-436,707;920,258;2067,14
0,300000;-340,881;988,464;2179,2
0,303333;-367,279;904,541;2021
0,306667;-273,438;923,157;2151,61
0,310000;-417,48;964,508;2053,22
0,313333;-363,922;918,274;2129,15
0,316667;-333,405;928,497;2072,75
0,320000;-386,047;903,015;2077,88
0,323333;-327,301;923,615;2123,54
0,326667;-434,723;956,268;2077,39
0,330000;-298,309;917,053;2190,67
0,333333;-376,434;1009,83;2118,65
0,336667;-385,132;909,424;2116,21
0,340000;-293,884;954,59;2116,46
0,343333;-470,276;933,075;2050,05
0,346667;-313,721;952,148;2202,39
0,350000;-366,058;1020,66;2200,2
0,353333;-338,593;886,688;2063,96
0,356667;-316,162;967,102;2188,23
0,360000;-328,369;989,532;2158,2
0,363333;-330,963;980,53;2199,22
0,366667;-337,067;936,737;2093,02
0,370000;-440,369;918,579;2090,58
0,373333;-323,792;928,192;2182,62
0,376667;-357,666;952,454;2093,26
0,380000;-376,129;916,595;2155,76
0,383333;-337,982;1018,22;2237,06
0,386667;-336,761;1032,87;2323,97
0,390000;-381,47;912,628;2063,72
0,393333;-389,709;950,317;2174,07
0,396667;-308,38;950,928;2231,45
0,400000;-418,549;976,257;2088,62
0,403333;-425,72;968,17;2235,6
0,406667;-234,222;973,663;2227,78
0,410000;-428,314;985,718;2157,47
0,413333;-349,579;992,889;2195,56
0,416667;-377,197;952,454;2115,72
0,420000;-317,078;1008,15;2246,83
0,423333;-434,57;977,783;2083,25
0,426667;-367,432;946,655;2222,9
0,430000;-401,154;1011,2;2178,96
0,433333;-275,726;1016,54;2350,34
0,436667;-392,303;1032,1;2207,28
0,440000;-300,598;997,772;2319,82
0,443333;-376,129;1047,06;2176,76
0,446667;-369,873;963,593;2238,04
0,450000;-337,219;1024,17;2215,58
0,453333;-375,824;983,582;2234,62
0,456667;-315,247;962,219;2233,64
0,460000;-343,17;1048,13;2271,24
0,463333;-380,554;962,372;2227,54
0,466667;-294,342;1018,07;2249,76
0,470000;-412,292;986,023;2166,75
0,473333;-402,985;995,483;2174,56
0,476667;-287,628;959,625;2272,46
0,480000;-374,603;983,124;2148,68
0,483333;-383,606;935,059;2232,67
0,486667;-343,475;1046,3;2273,44
0,490000;-435,486;971,375;2184,57
0,493333;-369,568;981,598;2208,5
0,496667;-359,955;949,86;2231,45
0,500000;-419,312;968,323;2168,95
0,503333;-361,633;1005,4;2303,71
0,506667;-367,432;1025,24;2275,39
0,510000;-318,604;953,674;2202,15
0,513333;-438,385;1004,94;2189,21
0,516667;-387,268;976,868;2252,93
0,520000;-259,247;1008;2329,1
0,523333;-423,737;1084,9;2205,08
0,526667;-340,729;964,508;2278,32
0,530000;-378,418;1043,7;2186,52
0,533333;-359,497;995,789;2338,62
0,536667;-295,563;966,339;2160,89
0,540000;-445,557;949,402;2155,76
0,543333;-379,791;971,375;2244,14
0,546667;-346,375;933,838;2115,97
0,550000;-425,11;952,454;2170,17
0,553333;-333,557;940,704;2156,25
0,556667;-441,589;989,075;2164,06
0,560000;-334,015;962,372;2239,26
0,563333;-397,339;933,075;2100,59
0,566667;-363,922;963,593;2250,98
0,570000;-354,614;942,23;2156,98
0,573333;-377,35;973,663;2192,87
0,576667;-425,11;983,124;2209,72
0,580000;-290,07;982,208;2270,51
0,583333;-452,423;976,868;2153,32
0,586667;-346,68;994,72;2271,97
0,590000;-377,808;940,399;2099,85
0,593333;-348,816;987,854;2272,22
0,596667;-353,699;1014,4;2197,02
0,600000;-365,143;997,009;2318,12
0,603333;-311,584;1019,9;2246,09
0,606667;-399,78;976,257;2176,27
0,610000;-398,254;963,287;2156,98
0,613333;-329,59;970,612;2195,56
0,616667;-437,775;966,949;2110,35
0,620000;-332,489;907,44;2206,3
0,623333;-413,208;1000,67;2161,38
0,626667;-271,912;926,971;2295,41
0,630000;-395,813;1055,15;2171,39
0,633333;-418,701;1006,62;2262,94
0,636667;-292,206;974,426;2223,63
0,640000;-467,529;954,895;2104,74
0,643333;-268,86;915,833;2288,82
0,646667;-393,524;1075,59;2193,12
0,650000;-345,612;947,876;2288,57
0,653333;-366,974;1024,17;2156,49
0,656667;-399,17;936,584;2216,06
0,660000;-325,317;989,075;2222,17
0,663333;-450,287;959,32;2138,18
0,666667;-256,042;990,906;2351,56
0,670000;-391,541;1043,85;2208,98
0,673333;-294,495;961,151;2334,72
0,676667;-364,99;1056,37;2217,29
0,680000;-399,78;997,467;2300,05
0,683333;-292,664;1047,21;2337,65
0,686667;-357,666;983,734;2168,46
0,690000;-424,957;919,342;2150,39
0,693333;-291,29;943,756;2201,17
0,696667;-445,099;959,32;2093,51
0,700000;-416,718;968,323;2242,92
0,703333;-348,358;974,731;2195,8
0,706667;-386,81;909,882;2129,88
0,710000;-364,227;913,086;2177,98
0,713333;-426,025;972,9;2081,79
0,716667;-386,81;954,132;2266,36
0,720000;-410,614;1019,59;2147,71
0,723333;-372,314;935,211;2288,82
0,726667;-382,08;982,513;2068,12
0,730000;-437,775;955,353;2237,3
0,733333;-325,928;949,402;2160,64
